05735453,FREDERIK,HENDRIK,LEEUWRIK,1,,NL,NETHERLANDS,residence	
05801868,KE-CHIANG,,CHU,1,CA,US,,residence	
05819905,ROY,HENRY,JOHNSON,1,IL,US,,residence	
05869258,DANIEL,L.,BRORS,1,CA,US,,residence	
05874440,DANIEL,A.,BEAULIER,1,CA,US,,residence	
05911222,JEAN-PIERRE,,BEAUVIALA,1,,FR,FRANCE,residence	
05911467,NORMAN,C.,ABLER,1,WI,US,,residence	
05931050,ICHIRO,,AZUMA,1,,JP,JAPAN,residence	
05932970,DOAN,,PHAM VAN,1,,FR,FRANCE,residence	
05933132,YASUHARU,,MORI,1,,JP,JAPAN,residence	
05942171,RICHARD,JOHN,CUSIMANO,1,NY,US,,residence	
05944342,JOHN,H.,BELL,1,IL,US,,residence	
05948527,HOLLIDAY,L.,GOLDMAN,1,PA,US,,residence	
05953908,CHARLES,A.,LAMB,1,AZ,US,,residence	
05964739,JOHN,D.,NORTHUP,1,OH,US,,residence	
05969931,MARTVAL,JOHN,HARTIG,1,DE,US,,residence	
06000562,FRED,M.,RINK,1,IN,US,,residence	
06002959,PETER,,ACKERET,1,,CH,SWITZERLAND,residence	
06003786,ERNST,,SALJE,1,,DE,GERMANY,residence	
06005832,NOBUHIRO,,OI,1,,JP,JAPAN,residence	
06010205,EDWIN,B.,NOLT,1,PA,US,,residence	
06011192,WILLIAM,R.,BOURNE,1,CA,US,,residence	
06013395,HARRY,E.,LOCKERY,1,MA,US,,residence	
06013709,CHARLES,J.,KRAMER,1,NY,US,,residence	
06016019,JOHN,MICHAEL,PAYNE,1,,GB,UNITED KINGDOM,residence	
06022961,WALDO,J.,FRIERDICH,1,IL,US,,residence	
06027409,LAWRENCE,R.,ROCHE,1,MN,US,,residence	
06030118,DENNIS,W.,CRAWFORD,1,MI,US,,residence	
06030119,WILFRED,F.,RETZLAFF,1,WI,US,,residence	
06031437,WILLIAM,D.,CLARK,1,CA,US,,residence	
06036359,NORRIS,R.,LEGUE,1,NJ,US,,residence	
06040893,AKIRA,,YAMAMURA,1,MA,US,,residence	
